date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:42:16	536/536	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:63fb18125c75162e3ac50fddbd2e7e4e%22	https://theme650-coffe-shop.myshopify.com/robots.txt		(from )
09:42:17	95077/95077	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:824343e00ff3743eeb813b9cd03efd86%22	https://theme650-coffe-shop.myshopify.com/	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/index.html	(from )
09:42:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202023%2004:12:17%20GMT	http://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=104646538588172532431553336081	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/favicon.0e9b9.delayed	(from https://theme650-coffe-shop.myshopify.com/)
09:42:18	522/522	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Nov%202023%2004:12:17%20GMT	https://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=104646538588172532431553336081	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/favicone9b9.png	(from https://theme650-coffe-shop.myshopify.com/)
09:42:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202023%2004:12:18%20GMT	http://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/assets.css?v=108715238997237275211656106337	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/assetsad87.css	(from https://theme650-coffe-shop.myshopify.com/)
09:42:18	159965/159965	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Nov%202023%2008:57:48%20GMT	https://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/assets.css?v=108715238997237275211656106337	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/assetsad87.css	(from https://theme650-coffe-shop.myshopify.com/)
09:42:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202023%2004:12:18%20GMT	http://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/style.scss.css?v=176425873336407830661656106337	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/style.scssba11.css	(from https://theme650-coffe-shop.myshopify.com/)
09:42:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202023%2004:12:20%20GMT	http://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/responsive.scss.css?v=162516089079076735581553346317	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/responsive.scss7ca5.css	(from https://theme650-coffe-shop.myshopify.com/)
09:42:20	85024/85024	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2008:09:50%20GMT	https://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/style.scss.css?v=176425873336407830661656106337	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/style.scssba11.css	(from https://theme650-coffe-shop.myshopify.com/)
09:42:20	23588/23588	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Nov%202023%2001:58:51%20GMT	https://theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/responsive.scss.css?v=162516089079076735581553346317	C:/My%20Web%20Sites/cafexcel/theme650-coffe-shop.myshopify.com/cdn/shop/t/2/assets/responsive.scss7ca5.css	(from https://theme650-coffe-shop.myshopify.com/)
